Genre	Artist
Genre0	Robert Schumann
Genre0	 Vladimir Horowitz
Genre5	Francisco Canaro
Genre0	Frédéric Chopin
Genre0	 Vladimir Horowitz
Genre5	Felix Mendelssohn
Genre5	 Vladimir Horowitz
Genre0	Franz Liszt
Genre0	 Vladimir Horowitz
Genre2	Francisco Canaro
Genre2	 Charlo
Genre5	Sergei Rachmaninoff
Genre5	 Vladimir Horowitz
Genre5	Frédéric Chopin
Genre5	 Vladimir Horowitz
Genre0	 Vladimir Horowitz
Genre0	Robert Schumann
Genre0	 Vladimir Horowitz
Genre5	Ludwig van Beethoven
Genre0	Alexander Scriabin
Genre0	 Vladimir Horowitz
Genre5	Francisco Canaro
Genre4	Francisco Canaro
Genre0	 Vladimir Horowitz
Genre4	Francisco Canaro
Genre0	Frédéric Chopin
Genre0	 Vladimir Horowitz
Genre0	Francisco Canaro
Genre4	Francisco Canaro
Genre4	 Charlo
Genre0	Frédéric Chopin
Genre0	 Vladimir Horowitz
Genre0	 Vladimir Horowitz
Genre4	Francisco Canaro
Genre4	 Charlo
Genre4	Ignacio Corsini
Genre2	Ignacio Corsini
Genre4	Francisco Canaro
Genre4	 Charlo
Genre2	Francisco Canaro
Genre0	Frédéric Chopin
Genre0	 Vladimir Horowitz
Genre5	 Vladimir Horowitz
Genre5	Frédéric Chopin
Genre5	 Vladimir Horowitz
Genre2	Francisco Canaro
Genre4	Francisco Canaro
Genre0	Frédéric Chopin
Genre0	 Vladimir Horowitz
Genre0	Franz Liszt
Genre0	 Vladimir Horowitz
Genre0	Robert Schumann
Genre0	 Vladimir Horowitz
Genre0	Robert Schumann
Genre0	 Vladimir Horowitz
Genre4	Ignacio Corsini
Genre4	Francisco Canaro
Genre4	 Charlo
Genre0	Frédéric Chopin
Genre0	 Vladimir Horowitz
Genre0	Francisco Canaro
Genre0	 Charlo
Genre0	 Vladimir Horowitz
Genre5	Ignacio Corsini
Genre2	Francisco Canaro
Genre2	 Charlo
Genre2	Ignacio Corsini
Genre4	Francisco Canaro
Genre5	Robert Schumann
Genre5	 Vladimir Horowitz
Genre0	 Vladimir Horowitz
Genre0	Francisco Canaro
Genre0	Frédéric Chopin
Genre0	 Vladimir Horowitz
Genre4	Francisco Canaro
Genre4	Ignacio Corsini
Genre0	 Vladimir Horowitz
Genre0	Frédéric Chopin
Genre0	 Vladimir Horowitz
Genre5	Frédéric Chopin
Genre5	 Vladimir Horowitz
Genre5	Francisco Canaro
Genre5	 Charlo
Genre0	Frédéric Chopin
Genre0	 Vladimir Horowitz
Genre5	Robert Schumann
Genre5	 Vladimir Horowitz
Genre0	Frédéric Chopin
Genre0	 Vladimir Horowitz
Genre0	Frédéric Chopin
Genre0	 Vladimir Horowitz
Genre5	Alexander Scriabin
Genre5	 Vladimir Horowitz
Genre5	 Vladimir Horowitz
Genre4	Francisco Canaro
Genre0	Ignacio Corsini
Genre5	Robert Schumann
Genre5	 Vladimir Horowitz
Genre5	Frédéric Chopin
Genre5	 Vladimir Horowitz
Genre2	Francisco Canaro
Genre2	 Charlo
Genre2	Francisco Canaro
Genre2	Ignacio Corsini
Genre0	Francisco Canaro
Genre0	 Charlo
Genre0	Alexander Scriabin
Genre0	 Vladimir Horowitz
Genre0	Alexander Scriabin
Genre0	 Vladimir Horowitz
Genre2	Ignacio Corsini
Genre0	Francisco Canaro
Genre4	Giorgos Papasideris
Genre4	Francisco Canaro
Genre0	Francisco Canaro
Genre0	 Charlo
Genre5	Francisco Canaro
Genre5	 Roberto Maida
Genre0	Francisco Canaro
Genre0	 Charlo
Genre0	Francisco Canaro
Genre0	 Charlo
Genre5	Giorgos Papasideris
Genre7	Roza Eskenazi
Genre4	Francisco Canaro
Genre5	Ignacio Corsini
Genre4	Francisco Canaro
Genre4	 Charlo
Genre5	Giorgos Papasideris
Genre5	Giorgos Papasideris
Genre4	Ignacio Corsini
Genre2	Francisco Canaro
Genre4	Francisco Canaro
Genre4	 Charlo
Genre5	Giorgos Papasideris
Genre4	Francisco Canaro
Genre4	 Ernesto Fama
Genre4	Francisco Canaro
Genre4	 Charlo
Genre4	Francisco Canaro
Genre4	 Charlo
Genre5	 Andrés Segovia
Genre2	Francisco Canaro
Genre0	Ignacio Corsini
Genre2	Francisco Canaro
Genre2	Ignacio Corsini
Genre4	Giorgos Papasideris
Genre5	Rita Ampatzi
Genre4	Roza Eskenazi
Genre4	Francisco Canaro
Genre4	 Charlo
Genre7	Francisco Canaro
Genre7	 Charlo
Genre2	Sinclair Lewis
Genre2	 Frank Arnold
